freq_hz,psd_dBm
96145117.1875,-68.61729599534213
96145703.125,-68.60783767402147
96146289.0625,-68.58901187003501
96146875.0,-68.58470892323172
96147460.9375,-68.58659601486221
96148046.875,-68.57494965251782
96148632.8125,-68.58389970512795
96149218.75,-68.60331957278763
96149804.6875,-68.61435893257115
96150390.625,-68.6301135729327
96150976.5625,-68.667318140413
96151562.5,-68.6553998542519
96152148.4375,-68.64619402413928
96152734.375,-68.62894724231303
96153320.3125,-68.62528275375679
96153906.25,-68.60537573402142
96154492.1875,-68.63743824126422
96155078.125,-68.65738051835656
96155664.0625,-68.60868019930679
96156250.0,-68.65361712849963
96156835.9375,-68.68907235425735
96157421.875,-68.71915969026027
96158007.8125,-68.70095434184368
96158593.75,-68.71202736261216
96159179.6875,-68.70478199360059
96159765.625,-68.74926159546102
96160351.5625,-68.74303225628265
96160937.5,-68.70050025586397
96161523.4375,-68.70340153499292
96162109.375,-68.74889665475476
96162695.3125,-68.74966235233211
96163281.25,-68.7717535522128
96163867.1875,-68.79554167415482
96164453.125,-68.82144347351272
96165039.0625,-68.81144313849948
96165625.0,-68.81395915105864
96166210.9375,-68.84217615615273
96166796.875,-68.85113221668519
96167382.8125,-68.87312218984498
96167968.75,-68.8553402090658
96168554.6875,-68.85487656392911
96169140.625,-68.86947953719343
96169726.5625,-68.88363988829039
96170312.5,-68.85353485024045
96170898.4375,-68.8490608921903
96171484.375,-68.85428045602394
96172070.3125,-68.85449101299578
96172656.25,-68.82736640463634
96173242.1875,-68.82507290449485
96173828.125,-68.87762513118778
96174414.0625,-68.88774881010164
96175000.0,-68.8649562952532
96175585.9375,-68.85288971810648
96176171.875,-68.86383501363758
96176757.8125,-68.82940724996044
96177343.75,-68.86729666251976
96177929.6875,-68.85305680474902
96178515.625,-68.86393512217838
96179101.5625,-68.877530374102
96179687.5,-68.91371991699607
96180273.4375,-68.90823258804691
96180859.375,-68.89098657405131
96181445.3125,-68.88261571272537
96182031.25,-68.87709179911081
96182617.1875,-68.90758167615141
96183203.125,-68.92025733059108
96183789.0625,-68.93509555720817
96184375.0,-68.91641353327687
96184960.9375,-68.91388220198625
96185546.875,-68.95359648171889
96186132.8125,-68.9156537671614
96186718.75,-68.91762190379634
96187304.6875,-68.88677016045604
96187890.625,-68.91140498394367
96188476.5625,-68.910452840975
96189062.5,-68.92316741350896
96189648.4375,-68.95900918686597
96190234.375,-68.97362926773076
96190820.3125,-69.01470261319133
96191406.25,-68.9957354869371
96191992.1875,-68.98872599499822
96192578.125,-68.98121071761244
96193164.0625,-68.94398116009089
96193750.0,-68.91273530746894
96194335.9375,-68.90727813028556
96194921.875,-68.91819107010761
96195507.8125,-68.90952327985565
96196093.75,-68.88882434442192
96196679.6875,-68.87285266227724
96197265.625,-68.86551798872577
96197851.5625,-68.86619431078793
96198437.5,-68.86242459179083
96199023.4375,-68.85449593605806
96199609.375,-68.83453320399339
96200195.3125,-68.86283061578902
96200781.25,-68.81644742970799
96201367.1875,-68.77693471944328
96201953.125,-68.75155271441818
96202539.0625,-68.72585078174694
96203125.0,-68.77479960648174
96203710.9375,-68.75689832204151
96204296.875,-68.7249611273133
96204882.8125,-68.72168006609978
96205468.75,-68.69900660108341
96206054.6875,-68.68391407877482
96206640.625,-68.67965746812752
96207226.5625,-68.70048886818796
96207812.5,-68.69102337379326
96208398.4375,-68.68985128613818
96208984.375,-68.65455289432911
96209570.3125,-68.60259490683049
96210156.25,-68.60629203048475
96210742.1875,-68.6440487650428
96211328.125,-68.65253429607553
96211914.0625,-68.64149018622598
96212500.0,-68.64116171923402
96213085.9375,-68.62563517092875
96213671.875,-68.65546014733658
96214257.8125,-68.64681410143835
96214843.75,-68.64394018745811
96215429.6875,-68.64568131628799
96216015.625,-68.6764320645831
96216601.5625,-68.69278109650134
96217187.5,-68.72709289734637
96217773.4375,-68.70396642743387
96218359.375,-68.70166645591658
96218945.3125,-68.66128121756356
96219531.25,-68.61204272863273
96220117.1875,-68.63484515884683
96220703.125,-68.61448748728431
96221289.0625,-68.63632764705409
96221875.0,-68.58707320801221
96222460.9375,-68.56174316003306
96223046.875,-68.62115353870772
96223632.8125,-68.61306122761357
96224218.75,-68.59430151680853
96224804.6875,-68.59682579299881
96225390.625,-68.61305546809383
96225976.5625,-68.61969482240133
96226562.5,-68.63379675511477
96227148.4375,-68.62451598215534
96227734.375,-68.64073781107453
96228320.3125,-68.64321634171219
96228906.25,-68.65806936426661
96229492.1875,-68.66374589989348
96230078.125,-68.69261638326678
96230664.0625,-68.72493425540047
96231250.0,-68.74229717917775
96231835.9375,-68.75159113992342
96232421.875,-68.79013580241896
96233007.8125,-68.7770058438675
96233593.75,-68.78961683144611
96234179.6875,-68.82654364788455
96234765.625,-68.85412864687196
96235351.5625,-68.90090580833383
96235937.5,-68.9092831416573
96236523.4375,-68.93661406643908
96237109.375,-68.93784338576219
96237695.3125,-68.94713454289065
96238281.25,-68.91163628823868
96238867.1875,-68.93681138062514
96239453.125,-68.97197670049064
96240039.0625,-68.98768300094271
96240625.0,-68.94603858050964
96241210.9375,-68.93904579142156
96241796.875,-68.95247132221166
96242382.8125,-68.96141464151798
96242968.75,-68.96766923893232
96243554.6875,-68.99401790757902
96244140.625,-69.02959339122796
96244726.5625,-69.0277982211474
