freq_hz,psd_dBm
96176757.812500,-3.809832020540e+01
96177343.750000,-3.863861799060e+01
96177929.687500,-3.850439011837e+01
96178515.625000,-3.811442636413e+01
96179101.562500,-3.802727892679e+01
96179687.500000,-3.858886795688e+01
96180273.437500,-3.853044656375e+01
96180859.375000,-3.814819428967e+01
96181445.312500,-3.817644963246e+01
96182031.250000,-3.839788723132e+01
96182617.187500,-3.843746137504e+01
96183203.125000,-3.823500581839e+01
96183789.062500,-3.561549604598e+01
96184375.000000,-3.571238508735e+01
96184960.937500,-3.770020619031e+01
96185546.875000,-3.779530446655e+01
96186132.812500,-3.720713181347e+01
96186718.750000,-3.790444257436e+01
96187304.687500,-3.824210857135e+01
96187890.625000,-3.797274809109e+01
96188476.562500,-3.775929901194e+01
96189062.500000,-3.755555928204e+01
96189648.437500,-3.781406642712e+01
96190234.375000,-3.743062454464e+01
96190820.312500,-3.699746661507e+01
96191406.250000,-3.696692232125e+01
96191992.187500,-3.410209098026e+01
96192578.125000,-3.634768715143e+01
96193164.062500,-3.751018980539e+01
96193750.000000,-3.769988633371e+01
96194335.937500,-3.771068725812e+01
96194921.875000,-3.760636034626e+01
96195507.812500,-3.763940358016e+01
96196093.750000,-3.782436321677e+01
96196679.687500,-3.725146290842e+01
96197265.625000,-3.765731410790e+01
96197851.562500,-3.816733113913e+01
96198437.500000,-3.819710658519e+01
96199023.437500,-3.794802884823e+01
96199609.375000,-3.635929766835e+01
96200195.312500,-3.521555253462e+01
96200781.250000,-3.787166406846e+01
96201367.187500,-3.801165492279e+01
96201953.125000,-3.830465689865e+01
96202539.062500,-3.805103092629e+01
96203125.000000,-3.846107815504e+01
96203710.937500,-3.832458968399e+01
96204296.875000,-3.828652210407e+01
96204882.812500,-3.830343264743e+01
96205468.750000,-3.818808573640e+01
96206054.687500,-3.822850737277e+01
96206640.625000,-3.812016614415e+01
96207226.562500,-3.841806609254e+01
96207812.500000,-3.670280365767e+01
96208398.437500,-3.706975310253e+01
96208984.375000,-3.791620629460e+01
96209570.312500,-3.824407051002e+01
96210156.250000,-3.868866243688e+01
96210742.187500,-3.822890032229e+01
96211328.125000,-3.789502905226e+01
96211914.062500,-3.817006098210e+01
96212500.000000,-3.853856379516e+01
96213085.937500,-3.863543824402e+01
96213671.875000,-3.832252895698e+01
96214257.812500,-3.826005936092e+01
96214843.750000,-3.822125605003e+01
96215429.687500,-3.774915521408e+01
96216015.625000,-3.632154262853e+01
96216601.562500,-3.780823077922e+01
96217187.500000,-3.844586624321e+01
96217773.437500,-3.845126203685e+01
96218359.375000,-3.841124877831e+01
96218945.312500,-3.847583605860e+01
96219531.250000,-3.851298003025e+01
96220117.187500,-3.857228950101e+01
96220703.125000,-3.840181276591e+01
96221289.062500,-3.850998998687e+01
96221875.000000,-3.823278580665e+01
96222460.937500,-3.812920242166e+01
96223046.875000,-3.827679350921e+01
96223632.812500,-3.710421089717e+01
96224218.750000,-3.664649355069e+01
96224804.687500,-3.814586556732e+01
96225390.625000,-3.834522870247e+01
96225976.562500,-3.832355194587e+01
96226562.500000,-3.809243859753e+01
96227148.437500,-3.779277788701e+01
96227734.375000,-3.827587509294e+01
96228320.312500,-3.816595639287e+01
96228906.250000,-3.817626485209e+01
96229492.187500,-3.810508155829e+01
96230078.125000,-3.822000268104e+01
96230664.062500,-3.805558981519e+01
96231250.000000,-3.809918924336e+01
96231835.937500,-3.659831307203e+01
96232421.875000,-3.742055800303e+01
96233007.812500,-3.837288122654e+01
96233593.750000,-3.829614786100e+01
96234179.687500,-3.836257060433e+01
96234765.625000,-3.822230279320e+01
96235351.562500,-3.857223611959e+01
96235937.500000,-3.860183649914e+01
96236523.437500,-3.836974860175e+01
96237109.375000,-3.841098145804e+01
96237695.312500,-3.836999808423e+01
96238281.250000,-3.869429112145e+01
96238867.187500,-3.843341987505e+01
96239453.125000,-3.789154954472e+01
96240039.062500,-3.598824556947e+01
96240625.000000,-3.762376335103e+01
96241210.937500,-3.819068384321e+01
96241796.875000,-3.835101892201e+01
96242382.812500,-3.830730377520e+01
96242968.750000,-3.814938048384e+01
96243554.687500,-3.789525218777e+01
96244140.625000,-3.775229919487e+01
96244726.562500,-3.820535412218e+01
96245312.500000,-3.829981362342e+01
96245898.437500,-3.804715276226e+01
96246484.375000,-3.815606516330e+01
96247070.312500,-3.817951347100e+01
96247656.250000,-3.644157234582e+01
96248242.187500,-3.609910061947e+01
96248828.125000,-3.779109637909e+01
96249414.062500,-3.742010219133e+01
96250000.000000,-3.773132398562e+01
96250585.937500,-3.809746774350e+01
96251171.875000,-3.766088544517e+01
96251757.812500,-3.758252820450e+01
96252343.750000,-3.687100347639e+01
96252929.687500,-3.528990105109e+01
96253515.625000,-3.657530565060e+01
96254101.562500,-3.393898877428e+01
96254687.500000,-2.478487619137e+01
96255273.437500,-2.806078589769e+01
96255859.375000,-2.788050881320e+01
96256445.312500,-3.061004002158e+01
96257031.250000,-3.684485940413e+01
96257617.187500,-3.674902704923e+01
96258203.125000,-3.671961631432e+01
96258789.062500,-3.634027288851e+01
96259375.000000,-3.643586562974e+01
96259960.937500,-3.660474516198e+01
96260546.875000,-3.637636136318e+01
96261132.812500,-3.580850844711e+01
96261718.750000,-3.585041333451e+01
96262304.687500,-3.573241596533e+01
96262890.625000,-3.559103589158e+01
96263476.562500,-3.540709283887e+01
96264062.500000,-3.431699603134e+01
96264648.437500,-3.518324215652e+01
96265234.375000,-3.492026844120e+01
96265820.312500,-3.500024023264e+01
96266406.250000,-3.470337155629e+01
96266992.187500,-3.446130172672e+01
96267578.125000,-3.424124561423e+01
96268164.062500,-3.411741383051e+01
96268750.000000,-3.405732069583e+01
96269335.937500,-3.378010514782e+01
96269921.875000,-3.347047399015e+01
96270507.812500,-3.344349517576e+01
96271093.750000,-3.338961353960e+01
96271679.687500,-3.308576305304e+01
96272265.625000,-3.253100770978e+01
96272851.562500,-3.309618487267e+01
96273437.500000,-3.289635980046e+01
96274023.437500,-3.247529992784e+01
96274609.375000,-3.246208869396e+01
96275195.312500,-3.220906513238e+01
96275781.250000,-3.191889292256e+01
96276367.187500,-3.182168626848e+01
96276953.125000,-3.159196494070e+01
96277539.062500,-3.181089286747e+01
96278125.000000,-3.172255794695e+01
96278710.937500,-3.134499179650e+01
96279296.875000,-3.115018851067e+01
96279882.812500,-3.029424619260e+01
96280468.750000,-3.045065270950e+01
96281054.687500,-3.094490300327e+01
96281640.625000,-3.072499549802e+01
96282226.562500,-3.071134968234e+01
96282812.500000,-3.081422602865e+01
96283398.437500,-3.095426804708e+01
96283984.375000,-3.057869473821e+01
96284570.312500,-3.015577398262e+01
96285156.250000,-3.000783569612e+01
96285742.187500,-3.006737888081e+01
96286328.125000,-2.980064008466e+01
96286914.062500,-2.961963145361e+01
96287500.000000,-2.974750885890e+01
96288085.937500,-2.913269812960e+01
96288671.875000,-2.977642289128e+01
96289257.812500,-2.931590913989e+01
96289843.750000,-2.903925692449e+01
96290429.687500,-2.923394329826e+01
96291015.625000,-2.901365142013e+01
96291601.562500,-2.932725336873e+01
96292187.500000,-2.956320637477e+01
96292773.437500,-2.915271589151e+01
96293359.375000,-2.870286029684e+01
96293945.312500,-2.893878485169e+01
96294531.250000,-2.884175506400e+01
96295117.187500,-2.874007000046e+01
96295703.125000,-2.862961490070e+01
96296289.062500,-2.879651507247e+01
96296875.000000,-2.858820054998e+01
96297460.937500,-2.895183198270e+01
96298046.875000,-2.901724629348e+01
96298632.812500,-2.886166775649e+01
96299218.750000,-2.853907708171e+01
96299804.687500,-2.830983566292e+01
96300390.625000,-2.831406934308e+01
96300976.562500,-2.827822366806e+01
96301562.500000,-2.855122041546e+01
96302148.437500,-2.853759378122e+01
96302734.375000,-2.825109025840e+01
96303320.312500,-2.836166341822e+01
96303906.250000,-2.811048096256e+01
96304492.187500,-2.839600567164e+01
96305078.125000,-2.846967350802e+01
96305664.062500,-2.827239060979e+01
96306250.000000,-2.816277333729e+01
96306835.937500,-2.844454693122e+01
96307421.875000,-2.880644082099e+01
96308007.812500,-2.886603344138e+01
96308593.750000,-2.864620443503e+01
96309179.687500,-2.846858565162e+01
96309765.625000,-2.841362622744e+01
96310351.562500,-2.844999232185e+01
96310937.500000,-2.845297107157e+01
96311523.437500,-2.889513029623e+01
96312109.375000,-2.840936870096e+01
96312695.312500,-2.859719954531e+01
96313281.250000,-2.823289671726e+01
96313867.187500,-2.691030517764e+01
96314453.125000,-2.798792011198e+01
96315039.062500,-2.886000161744e+01
96315625.000000,-2.875645951366e+01
96316210.937500,-2.896425153664e+01
96316796.875000,-2.894249117578e+01
96317382.812500,-2.908833299902e+01
96317968.750000,-2.932349478893e+01
96318554.687500,-2.933555155765e+01
96319140.625000,-2.919915645136e+01
96319726.562500,-2.921829588387e+01
96320312.500000,-2.975045599418e+01
96320898.437500,-2.983950349942e+01
96321484.375000,-3.006737470678e+01
96322070.312500,-2.989549093475e+01
96322656.250000,-2.991137582629e+01
96323242.187500,-2.956943899677e+01
96323828.125000,-2.971664956071e+01
96324414.062500,-3.023810364898e+01
